"","id","Serial.Number","List.Year","Date.Recorded","Address","Assessed.Value","Sale.Amount","Sales.Ratio","Property.Type","Non.Use.Code","Zone.Name","Zone.Classification","Location"
"33",33,10037,2010,2010-10-06,"820-822 WOOD AVENUE",122380,145000,0.844,"Single Family",NA,"1355-5","NX1",c(-73.2123005, 41.1830297)
"34",34,10039,2001,2001-10-02,"1479 PEMBROKE ST",80146,1e+05,0.80146,NA,NA,"1711-10","NX2",c(-73.1768688, 41.1944261)
"35",35,10039,2010,2010-10-07,"11 THORNE PLACE",685470,955000,0.717769634,"Single Family",NA,"134-4","N3",c(-73.2267193, 41.146038)
"36",36,10040,2001,2001-10-02,"3075 OLD TOWN RD",112420,230000,0.488782609,NA,NA,"2502B-20","N4",c(-73.2267224, 41.2261498)
"37",37,10042,2010,2010-10-12,"44 HILLSIDE AVENUE",115010,87000,1.321954023,"Single Family","14","1345-18A","NX1",c(-73.2169454, 41.189659)
"38",38,10043,2001,2001-10-02,"63 5 THURSTON ST",104509,184900,0.565219037,NA,NA,"244-18","N2",c(-73.2207129, 41.1588634)
"39",39,10045,2001,2001-10-03,"480-482 GARFIELD AVE",83930,39775,2.110119422,NA,"1","2205-52A","NX1",c(-73.2084059, 41.1938964)
"40",40,10047,2001,2001-10-03,"438 CT AVE",72381,20000,3.61905,NA,"7","704-17","NX2",c(-73.1688956, 41.1789024)
"41",41,10048,2010,2010-10-13,"96  RED OAK ROAD",141860,140000,1.013285714,"Single Family",NA,"2778B-17","N4",c(-73.1977503, 41.2271035)
"42",42,10050,2001,2001-10-03,"2445 PARK AVE",66500,155000,0.429032258,NA,NA,"1366-28K","RX2",c(-73.2151423, 41.1905746)
"43",43,10051,2010,2010-10-12,"881 LAFAYETTE BLVD UNIT 1A",279510,190000,1.471105263,"Condo","25","945A-11A","DX2",c(-73.1922616, 41.174777)
"44",44,10052,2001,2001-10-03,"3066 MAIN ST",95970,170000,0.564529412,NA,NA,"2800A-41","N2",c(-73.1765541, 41.2161576)
"45",45,10053,2010,2010-10-14,"54 VIRGINIA AVENUE",82280,50000,1.6456,"Condo","15","2038-15A","NX3",c(-73.177133, 41.210823)
"46",46,10054,2010,2010-10-14,"304-306 JEFFERSON STREET",125770,37500,3.353866667,"Two Family","14","612-25","NX2",c(-73.1673947, 41.171392)
"47",47,10054,2001,2001-10-03,"191 ECKART ST",85469,175000,0.488394286,NA,NA,"2513-32","N4",c(-73.233729, 41.2207294)
"48",48,10057,2001,2001-10-04,"219 FOLINO DR",154980,290000,0.534413793,NA,NA,"2573-75","N4",c(-73.236081, 41.2231126)
"49",49,10062,2010,2010-10-18,"1184 LINDLEY STREET",122590,68000,1.802794118,"Single Family","14","2407-23X","NX1",c(-73.2021118, 41.2056953)
"50",50,10062,2001,2001-10-04,"109 ROWSLEY ST 4",221130,43000,5.14255814,NA,"6","228-1","NX3",c(-73.2252183, 41.1583009)
"51",51,10063,2001,2001-10-04,"219-221 BEECHMONT AVE",112350,209000,0.537559809,NA,NA,"2409-22","NX1",c(-73.2065522, 41.2081666)
"52",52,10064,2010,2010-10-18,"3444-346 EVERS STREET",141820,145000,0.978068966,"Two Family",NA,"2862-56","N2",c(-73.1719428, 41.2133395)
"53",53,10065,2010,2010-10-19,"230-232 MADISON AVENUE",220020,47000,4.681276596,"Two Family","25","1022-4","NX2",c(-73.197012, 41.18713)
"54",54,10065,2001,2001-10-04,"91 MINTURN RD",95830,177000,0.541412429,NA,NA,"2530-27","N4",c(-73.2201436, 41.2250888)
"55",55,10066,2001,2001-10-05,"93 ELLSWORTH ST 214",62370,104500,0.596842105,NA,NA,"225-27K","NX2",c(-73.2214278, 41.1553612)
"56",56,10068,2010,2010-10-19,"677 NOBLE AVENUE",117880,29500,3.995932203,"Two Family","15","1631-14","NX2",c(-73.1843233, 41.1909085)
"57",57,10068,2001,2001-10-05,"150 BEACHVIEW AVE 202",63000,137000,0.459854015,NA,NA,"106-9","RX2",c(-73.2338444, 41.1551472)
"58",58,10069,2001,2001-10-05,"220 QUARRY ST",81410,149900,0.543095397,NA,NA,"2433-30","N2",c(-73.2024547, 41.2095045)
"59",59,10070,2010,2010-10-20,"339 EZRA STREET",131100,75000,1.748,"Single Family","15","2403-13","N2",c(-73.2009977, 41.2048628)
"60",60,10071,2010,2010-10-20,"35-37 COLUMBIA CT",160840,54000,2.978518519,"Three Family","14","403-5A","NX2",c(-73.1952249, 41.167847)
"61",61,10073,2010,2010-10-20,"3741 MAIN STREET",313940,4e+05,0.78485,NA,NA,"2305-13A","RX1",c(-73.2106496, 41.2119858)
"62",62,10074,2001,2001-10-09,"44 KENNEDY DR",38500,92000,0.418478261,NA,NA,"2511-13B","NX3",c(-73.2220881, 41.2139826)
"63",63,10075,2010,2010-10-21,"13 LINEN AVENUE",147900,77100,1.918287938,"Two Family","14","1014-15","NX2",c(-73.2017462, 41.1821798)
"64",64,10076,2001,2001-10-09,"1192 8 E MAIN ST",32450,23924,1.356378532,NA,"3","829-12","PDD",c(-73.1810414, 41.1756346)
"65",65,10077,2010,2010-10-21,"1097 NOBLE AVENUE",162560,85000,1.912470588,"Three Family","14","1600-5","NX2",c(-73.1839227, 41.1967026)
"66",66,10077,2001,2001-10-09,"1206 8 E MAIN ST",13241,14835,0.892551399,NA,"3","829-12","PDD",c(-73.1810414, 41.1756346)
"67",67,10078,2010,2010-10-25,"481-483 GURDON",222100,136000,1.633088235,"Two Family","14","2401-17","NX1",c(-73.202926, 41.204432)
"68",68,10079,2010,2010-10-25,"3200 PARK AVE UNIT 4D1",192980,170000,1.135176471,"Condo",NA,"2256A-29C","NX4",c(-73.2213317, 41.2004563)
"69",69,10080,2010,2010-10-25,"43-45 LAUREL AVENUE",206920,125000,1.65536,"Two Family","25","1136-13","NX1",c(-73.200275, 41.175613)
"70",70,10080,2001,2001-10-09,"1163-9 E MAIN ST",104790,49900,2.1,NA,"3","1746-10","MX1",c(-73.1807254, 41.1905889)
"71",71,10081,2010,2010-10-25,"46-48 PARK STREET",173380,155688,1.113637531,"Three Family","14","1645-3","NX2",c(-73.1831393, 41.1879413)
"72",72,10081,2001,2001-10-09,"544 LINCOLN AVE",63490,63000,1.007777778,NA,"25","2272-1A","NX1",c(-73.209809, 41.1940559)
"73",73,10083,2001,2001-10-10,"415 PALMETTO RD",103040,164500,0.626382979,NA,NA,"2503B-2A","N4",c(-73.2259299, 41.2251969)
"74",74,10083,2010,2010-10-25,"167 ENGLEWOOD AVENUE",125790,90000,1.397666667,"Single Family","15","2319-18","N2",c(-73.2144948, 41.2126901)
"75",75,10084,2010,2010-10-25,"1058 CONNECTICUT AVENUE",3931360,12500,314.5088,NA,"25","714-23","NX3",c(-73.158703, 41.1827894)
"76",76,10085,2001,2001-10-10,"703-5 BREWSTER AVE",88270,47500,1.858315789,NA,"8","100-25","NX1",c(-73.2274418, 41.1580928)
"77",77,10085,2010,2010-10-25,"71-79 WOOD AVENUE",215790,1e+05,2.1579,NA,"25","1132-43","MX1",c(-73.2025362, 41.1773951)
"78",78,10086,2010,2010-10-25,"1703-1705 BOSTON AVENUE",181260,105000,1.726285714,"Three Family","14","1926-12","NX1",c(-73.1624938, 41.193838)
"79",79,10089,2010,2010-10-26,"45 AMERIDGE DRIVE",115650,140000,0.826071429,"Condo",NA,"2387-5A","NX3",c(-73.222087, 41.212874)
"80",80,10091,2001,2001-10-10,"1451 CHOPSEY HL RD",111090,215000,0.516697674,NA,NA,"2649-33","N4",c(-73.2026947, 41.2211021)
"81",81,10092,2001,2001-10-10,"2955 MADISON AVE UT 13",42000,124900,0.336269015,NA,NA,"2510-3C","NX3",c(-73.2276722, 41.2143347)
"82",82,10097,2010,2010-10-27,"385 SELTSAM RD",130190,18400,7.075543478,"Single Family","14","2750-11","N2",c(-73.1842574, 41.2142124)
"83",83,10099,2010,2010-10-27,"515-517 WASHINGTON AVENUE",433060,125000,3.46448,NA,"25","1051-16","RX2",c(-73.1950468, 41.1816697)
"84",84,10100,2001,2001-10-11,"201 EXETER ST",64471,60000,1.074516667,NA,NA,"2431-1","N2",c(-73.2025859, 41.2108655)
"85",85,10101,2010,2010-10-28,"183 LIVINGSTON PLACE UNIT 18",77320,25500,3.032156863,"Condo","14","2007-4","NX1",c(-73.1825028, 41.2079967)
"86",86,10103,2001,2001-10-11,"116-24 KNOWLTON ST",341390,280000,1.21925,NA,"3","1659-2","RX2",c(-73.1871754, 41.1855268)
"87",87,10103,2010,2010-10-28,"97 COWLES STREET",117630,30000,3.921,"Single Family","14","640-6","NX2",c(-73.15718, 41.18022)
"88",88,10104,2001,2001-10-11,"200 PLEASANTVIEW AVE",52710,92000,0.572934783,NA,NA,"2821-1","N2",c(-73.2073554, 41.2141371)
"89",89,10106,2001,2001-10-12,"1318 IRANISTAN AVE",84420,89900,0.939043382,NA,"14","1134-3","NX1",c(-73.2028722, 41.1783517)
"90",90,10108,2010,2010-11-01,"758-764 HALLETT STREET",223050,136000,1.640073529,NA,"14","1729-3","NX2",c(-73.175034, 41.191853)
"91",91,10110,2001,2001-10-12,"427-9 CT AVE",60061,44000,1.365022727,NA,"3","738-13","NX2",c(-73.1692371, 41.1791963)
"92",92,10110,2010,2010-11-01,"18 ASHLEY STREET",114420,65000,1.760307692,"Single Family","14","2003-32","N1",c(-73.1866098, 41.2049582)
"93",93,10113,2001,2001-10-12,"152 LORRAINE ST",64610,106000,0.609528302,NA,NA,"1421-6","NX1",c(-73.2071007, 41.1849729)
"94",94,10113,2010,2010-11-01,"60 OLSEN COURT",134240,186000,0.72172043,"Single Family",NA,"2010-37","NX1",c(-73.1807831, 41.2057208)
"95",95,10115,2001,2001-10-02,"715 FRENCHTOWN RD",56000,117000,0.478632479,NA,NA,"2600-10C","NX3",c(-73.2129946, 41.2257687)
"96",96,10115,2010,2010-11-01,"45 CHAPEL STREET",8190000,9500000,0.862105263,NA,NA,"908-20L","DX1",c(-73.190813, 41.181178)
"97",97,10117,2001,2001-10-15,"28 CHERRY HILL DR G 4",5191,3500,1.483142857,NA,NA,"999999","NX3",c(-73.2243212, 41.2132216)
"98",98,10118,2001,2001-10-15,"81 CHERRY HL RD 2A",38500,77900,0.494223363,NA,NA,"2511-9D","NX3",c(-73.2241507, 41.2141737)
"99",99,10120,2001,2001-10-15,"100 KENNEDY DR",38500,85000,0.452941176,NA,NA,"2511-13B","NX3",c(-73.2223877, 41.2143186)
"100",100,10120,2010,2010-11-01,"114 SEASIDE AVENUE",2214550,150000,14.76366667,NA,"25","127-9","N2",c(-73.2271591, 41.1516568)
"101",101,10123,2010,2010-11-02,"767-769 HANCOCK AVENUE",162760,90000,1.808444444,"Two Family","25","1224-22","NX2",c(-73.212212, 41.1706911)
"102",102,10124,2010,2010-11-02,"757-759 HANCOCK AVENUE",174650,95000,1.838421053,"Three Family","25","1224-8","NX2",c(-73.2120974, 41.1706352)
"103",103,10125,2001,2001-10-15,"1034-6 NOBLE AVE",79310,110000,0.721,NA,NA,"1606-2","NX2",c(-73.183524, 41.1957855)
"104",104,10125,2010,2010-11-02,"173 PRINCE STREET",193230,86000,2.246860465,"Three Family","14","1826-35","NX1",c(-73.1611667, 41.1902944)
"105",105,10130,2001,2001-10-15,"651 E MAIN ST",5201,15500,0.335548387,NA,NA,"813-9","RX1",c(-73.181277, 41.183492)
"106",106,10131,2001,2001-10-16,"80 CARTRIGHT ST 8C",28000,78000,0.358974359,NA,NA,"1301-16C","NX3",c(-73.2189, 41.17882)
"107",107,10132,2010,2010-11-02,"59-61 MYRTLE AVENUE",204560,165000,1.239757576,"Two Family","25","541-9","NX2",c(-73.189481, 41.164055)
"108",108,10133,2001,2001-10-16,"3370 MADISON AVE 12B",65800,117000,0.562393162,NA,NA,"2509D-20K","NX3",c(-73.2256768, 41.2196847)
"109",109,10136,2001,2001-10-16,"216 SCOFIELD AVE",66360,134000,0.495223881,NA,"13","214-3","NX1",c(-73.2257263, 41.1626821)
"110",110,10140,2001,2001-10-17,"69 BEACH ST",42350,54000,0.784259259,NA,NA,"1776-18C","NX2",c(-73.1819303, 41.1868396)
"111",111,10141,2001,2001-10-17,"65 ACORN AVE",38500,84000,0.458333333,NA,NA,"2511-13B","NX3",c(-73.2210856, 41.214634)
"112",112,10141,2010,2010-11-08,"481 HOLLISTER AVENUE",199210,70000,2.845857143,"Three Family","25","711-26A","NX2",c(-73.1622725, 41.181188)
"113",113,10142,2010,2010-11-08,"907-909 PEARL HARBOR ST",123570,161000,0.767515528,"Two Family",NA,"1940-66","N2",c(-73.157329, 41.202611)
"114",114,10148,2001,2001-10-18,"65-73 CENTER ST",92680,149500,0.61993311,NA,NA,"1047-27","NX2",c(-73.1951508, 41.184446)
"115",115,10148,2010,2010-11-08,"363 LAK AVENUE",258810,325000,0.796338462,"Single Family",NA,"120-23","N2",c(-73.2287253, 41.1508963)
"116",116,10151,2010,2010-11-08,"76 PORTER STREET",116430,55000,2.116909091,"Single Family","14","2101-14","NX1",c(-73.1972048, 41.1934388)
"117",117,10155,2010,2010-11-08,"323 MCKINLEY AVENUE",150070,169900,0.883284285,"Single Family",NA,"1428-26A","N1",c(-73.2092801, 41.1897031)
"118",118,10156,2010,2010-11-08,"4060 MAIN STREET",297550,870000,0.342011494,NA,NA,"2613-3","MX2",c(-73.2129152, 41.21602)
"119",119,10158,2001,2001-10-19,"145 BLACK ROCK AVE",57400,142000,0.404225352,NA,NA,"1161-22","NX2",c(-73.1984034, 41.1703755)
"120",120,10159,2001,2001-10-19,"104 YACHT ST",63210,106000,0.596320755,NA,NA,"239-15A","N2",c(-73.2185499, 41.1586556)
"121",121,10160,2010,2010-11-09,"3105 OLD TOWN ROAD (REAR)",40400,80000,0.505,"Single Family",NA,"2502B-16","N4",c(-73.2272575, 41.226149)
"122",122,10161,2001,2001-10-19,"961 STRATFORD AVE",40320,45800,0.880349345,NA,"14","702-10A","RX1",c(-73.1707793, 41.1770732)
"123",123,10162,2010,2010-11-10,"25 DEWEY COURT",134820,190000,0.709578947,"Three Family","14","1203-31","NX2",c(-73.2174419, 41.1763599)
"124",124,10163,2001,2001-10-19,"104 KEELER AVE",69090,157000,0.440063694,NA,NA,"2237-7","N1",c(-73.2091976, 41.2071929)
"125",125,10164,2001,2001-10-19,"180 PENNSYLVANIA AVE",57120,90000,0.634666667,NA,NA,"2036-28B","NX1",c(-73.1755868, 41.2087411)
"126",126,10164,2010,2010-11-10,"65 ELLSWORTH ST #304",151060,220000,0.686636364,"Condo",NA,"225-27K","NX2",c(-73.2212313, 41.1550444)
"127",127,10166,2010,2010-11-15,"981-983 WILLIAM STREET",142160,95000,1.496421053,"Three Family","14","1666-10B","NX2",c(-73.185531, 41.197601)
"128",128,10167,2001,2001-10-22,"16 ACTON RD",105000,203900,0.514958313,NA,NA,"2506A-13A","N4",c(-73.223461, 41.2230348)
"129",129,10168,2001,2001-10-22,"397-399 FAIRVIEW AVE",113750,248000,0.458669355,NA,NA,"2224-26A","NX1",c(-73.206707, 41.202194)
"130",130,10168,2010,2010-11-15,"575 CLARKE STREET",125900,187500,0.671466667,"Single Family",NA,"2328-1","N2",c(-73.2174437, 41.2051917)
"131",131,10169,2010,2010-11-05,"253 BEAR PAW ROA",140040,122050,1.147398607,"Single Family","15","2509C-21","N4",c(-73.2245241, 41.2216682)
"132",132,10172,2001,2001-10-22,"248 PLEASANTVIEW AVE",76230,129900,0.586836028,NA,NA,"2421-15","N2",c(-73.208153, 41.2138187)
"133",133,10173,2001,2001-10-22,"583 LAUREL AVE",75320,149500,0.503812709,NA,NA,"1124-10","NX1",c(-73.2092376, 41.1765483)
"134",134,10173,2010,2010-11-15,"36 DAYTON ROAD",165150,199500,0.827819549,"Single Family",NA,"2749-7A","N2",c(-73.1851616, 41.2149994)
"135",135,10174,2010,2010-11-16,"243-245 LENOX AVENUE",122850,215000,0.571395349,"Three Family",NA,"1217-52","NX2",c(-73.2167378, 41.17261)
"136",136,10175,2001,2001-10-22,"996-1000 PEARL HBR ST",70490,127000,0.55503937,NA,NA,"1939-1","N2",c(-73.1571804, 41.2013384)
"137",137,10175,2010,2010-11-16,"304-306 JEFFERSON STREET",125770,30000,4.192333333,"Two Family","14","612-25","NX2",c(-73.1673947, 41.171392)
"138",138,10177,2001,2001-10-22,"180 BATTERY PARK DR",330960,770000,0.429818182,NA,NA,"134-52","N3",c(-73.2276389, 41.1441719)
"139",139,10177,2010,2010-11-16,"300 SUCCESS AVE 69 COURT D BUI",3449400,15000,229.96,NA,"25","1938-30","NX3",c(-73.157072, 41.1969815)
"140",140,10178,2010,2010-11-16,"431 CHERRY STREET",187730,295000,0.636372881,NA,NA,"306-1","I",c(-73.21607, 41.166)
"141",141,10179,2001,2001-10-20,"367 IRANISTAN AVE",3017700,20500,147.204878,NA,"6","429-10","NX3",c(-73.1987893, 41.1661222)
"142",142,10180,2001,2001-10-23,"241 WOODSIDE AVE",89810,132000,0.680378788,NA,NA,"2613-20","N2",c(-73.2123266, 41.2162039)
"143",143,10180,2010,2010-11-16,"2070 NOBLE AVENUE",121790,102000,1.194019608,"Single Family","25","2000-1A","NX1",c(-73.1807818, 41.2091723)
"144",144,10182,2010,2010-11-16,"91 EDWARDS STREET",138680,165000,0.840484848,"Single Family",NA,"2726-12A","N2",c(-73.1896164, 41.2134713)
"145",145,10183,2010,2010-11-16,"183 WOODLAWN AVENUE",130480,81000,1.610864198,"Single Family","14","2753-21Y","N2",c(-73.1952917, 41.2149583)
"146",146,10184,2001,2001-10-23,"26 GREYSTONE RD",94500,175000,0.54,NA,NA,"2822-5","N2",c(-73.1658226, 41.2167243)
"147",147,10185,2001,2001-10-24,"367 IRANISTAN AVE",3017700,20000,150.885,NA,"6","429-10","NX3",c(-73.1987893, 41.1661222)
"148",148,10185,2010,2010-11-18,"127 CARNEGIE AVENUE",112730,117000,0.963504274,"Single Family",NA,"1924-28","N2",c(-73.1602541, 41.1952401)
"149",149,10186,2010,2010-11-18,"210-214 COLEMAN STREET",196060,75000,2.614133333,"Four Family","25","1034-6","NX2",c(-73.199508, 41.180438)
"150",150,10187,2001,2001-10-25,"94 RALPH ST",108921,222000,0.490635135,NA,NA,"2509A-70X","N4",c(-73.2255706, 41.2218016)
"151",151,10187,2010,2010-11-18,"889-891 CENTRAL AVENUE",196660,125668,1.564917083,"Three Family","18","707-17","NX2",c(-73.166154, 41.1793337)
"152",152,10188,2010,2010-11-18,"79 ROBERT STREET",107270,63000,1.702698413,"Single Family","25","2704-26A","N2",c(-73.1941142, 41.2089252)
"153",153,10189,2010,2010-11-18,"49 CANTERBURY ROAD",108050,95000,1.137368421,"Condo",NA,"2510-16B","NX3",c(-73.2264505, 41.2116121)
"154",154,10190,2010,2010-11-18,"357-359 PARK AVENUE",175940,165000,1.06630303,"Two Family","25","407-14A","NX2",c(-73.1931476, 41.167237)
"155",155,10191,2010,2010-11-18,"601 LINCOLN AVENUE",167520,162000,1.034074074,"Single Family","11","2205-1B","NX1",c(-73.2103481, 41.1933357)
"156",156,10192,2001,2001-10-25,"220 DAYTON RD",63910,128000,0.499296875,NA,"1","2774-6","N2",c(-73.1837311, 41.2172811)
"157",157,10192,2010,2010-11-18,"282 BRETTON STREET",139700,134900,1.035581913,"Single Family","14","2286-12","N4",c(-73.2163359, 41.2037032)
"158",158,10193,2010,2010-11-18,"3250 FAIRFIELD AVE UNIT 101",195160,172500,1.131362319,"Condo",NA,"128-10","NX3",c(-73.232628, 41.1556587)
"159",159,10194,2001,2001-10-25,"165 MARIGOLD AVE",62370,110000,0.567,NA,NA,"2783-1X","N2",c(-73.1905416, 41.2186723)
"160",160,10194,2010,2010-11-18,"756-758 GRAND STREET",185410,66000,2.809242424,"Three Family","14","1007-8","NX2",c(-73.2015455, 41.1858049)
"161",161,10196,2010,2010-11-18,"675 LAKESIDE AVENUE",223030,110000,2.027545455,"Single Family","14","2640-4","N4",c(-73.2081362, 41.2235693)
"162",162,10197,2010,2010-11-18,"675 LAKESIDE DRIVE",223030,125000,1.78424,"Single Family","25","2640-4","N4",c(-73.2081362, 41.2235693)
"163",163,10198,2001,2001-10-25,"2870 E MAIN ST",111161,122000,0.911155738,NA,"14","2800A-32A","N2",c(-73.1781284, 41.2137328)
"164",164,10198,2010,2010-11-18,"40 WHEELER AVENUE",113840,47500,2.396631579,"Single Family","14","1404-17","NX2",c(-73.1993765, 41.1938707)
"165",165,10200,2010,2010-11-22,"285 NORTH BISHOP AVE APT 27 BL",3449400,23000,149.973913,NA,"25","1938-30","NX3",c(-73.1564085, 41.1967568)
"166",166,10201,2001,2001-10-26,"2600 PARK AVE 3L",10500,32000,0.328125,NA,NA,"2294-18A","RX2",c(-73.215109, 41.193289)
"167",167,10201,2010,2010-11-22,"237-239 HARRAL AVENUE",178870,15000,11.92466667,"Two Family","14","1034-12","NX2",c(-73.1990853, 41.1806712)
"168",168,10202,2001,2001-10-26,"67 SUCCESS AVE",57960,32500,1.783384615,NA,"8","1935-7","N2",c(-73.1584394, 41.1941084)
"169",169,10202,2010,2010-11-22,"211 ALSACE STREET",7568480,19000,398.3410526,NA,"25","429-10","NX3",c(-73.20096, 41.16517)
"170",170,10205,2010,2010-11-22,"333 VINCELLETTE ST UNIT 23",85240,75000,1.136533333,"Condo","18","2316-13A","NX3",c(-73.2189466, 41.2151404)
"171",171,10206,2001,2001-10-26,"40-42 MADISON TER",96530,74950,1.287925284,NA,"10","2208-6","NX1",c(-73.2045404, 41.1970838)
"172",172,10207,2001,2001-10-26,"40-42 MADISON TER",96530,74950,1.287925284,NA,"8","2208-6","NX1",c(-73.2045404, 41.1970838)
"173",173,10207,2010,2010-11-22,"71 ALANSON ROAD",3931360,8000,491.42,NA,"25","714-23","NX3",c(-73.15855, 41.18197)
"174",174,10208,2001,2001-10-26,"419 EAST AVE",46621,30000,1.554033333,NA,"14","1832-42B","NX2",c(-73.1585035, 41.191716)
"175",175,10208,2010,2010-11-22,"597 BIRMINGHAM ST",145190,124000,1.170887097,"Single Family","25","2333-22","N2",c(-73.2167224, 41.206227)
"176",176,10210,2010,2010-11-23,"106 ARCADIA AVENUE",133970,203000,0.659950739,"Single Family",NA,"1330-4","N1",c(-73.2180186, 41.1865573)
"177",177,10211,2001,2001-10-26,"90 BUTLER AVE",42420,10000,4.242,NA,"8","1238-3","NX2",c(-73.211181, 41.1712366)
"178",178,10211,2010,2010-11-23,"325 NORTHFIELD DRIVE",125340,147000,0.852653061,"Single Family","14","2276-52","N4",c(-73.2179028, 41.2001558)
"179",179,10213,2010,2010-11-23,"82-88 DUPONT PLACE",184080,150000,1.2272,"Four Family","14","2860-46","N2",c(-73.1700011, 41.211961)
